[2021-01-21T19:38:59.508542+03:00] report.INFO: income request {"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","interType":"1","xlsx":"1"} []
[2021-01-21T22:17:57.705468+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T22:33:16.331265+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T22:46:00.805375+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T22:46:24.679180+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T22:46:32.149717+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T22:48:56.541744+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T23:04:42.437471+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T23:15:23.705974+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T23:24:38.627776+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-21T23:31:50.477185+03:00] report.INFO: incoming data intertypes {"0":{"interType":"1","typeId":"1"},"path":"/api/public"} []
[2021-01-22T00:10:08.709481+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T00:17:46.362536+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T00:19:51.157192+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T00:20:49.253207+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T00:22:14.919302+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T00:23:30.527171+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T00:25:11.481874+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T00:25:17.165798+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T00:26:00.340738+03:00] report.INFO: incoming data calculateMortgage {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","interType":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T00:43:48.688573+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T00:43:48.977146+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"undefined"},"path":"/api/public"} []
[2021-01-22T00:44:33.088738+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"undefined"},"path":"/api/public"} []
[2021-01-22T01:02:21.511832+03:00] report.INFO: incoming data option {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","interType":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T01:02:57.126446+03:00] report.INFO: incoming data option {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","intertype":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T01:03:35.048556+03:00] report.INFO: incoming data option {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","intertype":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T01:29:46.904953+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:29:51.805651+03:00] report.INFO: incoming data intertypes {"0":["undefined"],"path":"/api/public"} []
[2021-01-22T01:30:39.950416+03:00] report.INFO: incoming data intertypes {"0":["undefined"],"path":"/api/public"} []
[2021-01-22T01:32:53.290174+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:37:12.124312+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:37:17.441869+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:37:35.583202+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T01:37:40.694176+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:37:51.124434+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T01:39:15.629926+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:39:35.637096+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T01:39:41.064892+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:41:21.638778+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T01:41:23.651305+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:43:13.507799+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T01:43:14.534535+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:43:18.179805+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T01:43:21.067198+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:44:40.831869+03:00] report.INFO: incoming data option {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","intertype":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T01:46:00.041156+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T01:46:00.612006+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:46:08.855607+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:46:11.273812+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:49:13.560944+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:49:19.426695+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:51:53.393583+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:51:56.370817+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:54:17.745425+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:54:19.243852+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:58:56.707277+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T01:58:59.523377+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T01:58:59.530548+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:03:44.134338+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T02:03:47.660148+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:03:47.666362+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:06:13.077601+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T02:06:20.202460+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:06:20.200375+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:14:56.835718+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T02:15:00.828961+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:15:00.829490+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:16:14.992429+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T02:16:17.565110+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:16:17.562962+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:16:22.731349+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:16:25.158992+03:00] report.INFO: incoming data option {"0":{"intertype":"1","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:16:27.898195+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T02:16:29.982308+03:00] report.INFO: incoming data option {"0":{"intertype":"1","typeId":"1"},"path":"/api/public"} []
[2021-01-22T03:20:26.774621+03:00] report.INFO: incoming data calculateMortgage {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","interType":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T03:46:02.721230+03:00] report.INFO: incoming data calculateMortgage {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","interType":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T03:46:56.897378+03:00] report.INFO: incoming data calculateMortgage {"0":{"term":"300","price":"10000000","firstPayment":"15","percent":"5","typeId":"1","interType":"1","xlsx":"1"},"path":"/api/public"} []
[2021-01-22T04:00:51.450791+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:00:54.409461+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:00:54.411347+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:01:50.650554+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:01:58.086492+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:02:46.498553+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:07:23.006475+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:07:28.717185+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:07:28.716685+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:07:32.256388+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:08:10.213472+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T04:08:10.212932+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"2"},"path":"/api/public"} []
[2021-01-22T04:08:15.327222+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:08:15.327763+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:08:19.844621+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"2"},"path":"/api/public"} []
[2021-01-22T04:08:19.842515+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"2"},"path":"/api/public"} []
[2021-01-22T04:08:22.940096+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:08:24.476196+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:08:24.478124+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:08:41.074493+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:08:48.432437+03:00] report.INFO: incoming data option {"0":{"intertype":"1","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:08:50.739143+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:12:14.567384+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:12:20.401635+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:12:20.402796+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:12:24.853619+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:14:41.743851+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:14:42.757685+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:14:42.759176+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:14:46.632970+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:15:47.410455+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:15:50.494741+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:15:50.496691+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:15:57.185387+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:16:03.590752+03:00] report.INFO: income request {"0":[],"path":"/api/public"} []
[2021-01-22T04:16:08.887096+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T04:16:17.226613+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:16:17.227963+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T04:16:25.022657+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T10:50:09.987735+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T10:50:43.245404+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T10:50:43.245963+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T10:51:13.842675+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T10:55:02.891328+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T10:55:05.614499+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T10:55:05.616487+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T10:55:14.230114+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:01:02.120075+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T11:01:03.881317+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:01:03.883599+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:01:08.241498+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:01:11.681425+03:00] report.INFO: incoming data option {"0":{"intertype":"1","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:01:13.290073+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:05:56.378359+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T11:37:41.364014+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T11:37:48.535685+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:37:48.541124+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:37:50.271908+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:37:50.551998+03:00] report.INFO: incoming data option {"0":{"intertype":"1","typeId":"1"},"path":"/api/public"} []
